DayPI,DuckID,Strain,CloacaVirus,OropharyngeaVirus
8,12,H4N8,NA,NA
9,12,H4N8,0,0
10,12,H4N8,NA,NA
11,12,H4N8,0,0
12,12,H4N8,NA,NA
13,12,H4N8,NA,NA
14,12,H4N8,4.663153329,0
1,13,H4N8,0,4.260565711
2,13,H4N8,6.949851002,4.44038818
3,13,H4N8,7.376593878,5.296557849
4,13,H4N8,6.753925028,5.207988573
5,13,H4N8,6.724401936,4.413549006
6,13,H4N8,NA,NA
7,13,H4N8,3.460758309,2.663634824
8,13,H4N8,NA,NA
9,13,H4N8,0,3.138688214
10,13,H4N8,NA,NA
11,13,H4N8,0,2.556278126
12,13,H4N8,NA,NA
13,13,H4N8,NA,NA
14,13,H4N8,0,0
1,14,H4N8,0,7.288024602
2,14,H4N8,7.360490373,4.443072098
3,14,H4N8,6.92032791,5.511271246
4,14,H4N8,5.806502166,5.269718675
5,14,H4N8,6.158095353,4.169312517
6,14,H4N8,NA,NA
7,14,H4N8,3.39634429,0
8,14,H4N8,NA,NA
9,14,H4N8,0,3.087693782
10,14,H4N8,NA,NA
11,14,H4N8,0,0
12,14,H4N8,NA,NA
13,14,H4N8,NA,NA
14,14,H4N8,0,0
1,15,H4N8,0,6.643884412
2,15,H4N8,6.960586672,4.604107145
3,15,H4N8,6.689511009,5.618627944
4,15,H4N8,6.496268952,4.480646942
5,15,H4N8,5.446857227,3.954599121
6,15,H4N8,NA,NA
7,15,H4N8,3.745253559,2.207368856
8,15,H4N8,NA,NA
9,15,H4N8,0,0
10,15,H4N8,NA,NA
11,15,H4N8,0,2.679738329
12,15,H4N8,NA,NA
13,15,H4N8,NA,NA
14,15,H4N8,0,0
1,16,H6N1,0,4.851027551
2,16,H6N1,5.403914547,3.841874588
3,16,H6N1,5.479064236,4.585319723
4,16,H6N1,5.747455982,4.338399317
5,16,H6N1,5.2428795,3.527856245
6,16,H6N1,NA,NA
7,16,H6N1,0,2.459657097
8,16,H6N1,NA,NA
9,16,H6N1,0,0
10,16,H6N1,NA,NA
11,16,H6N1,0,0
12,16,H6N1,NA,NA
13,16,H6N1,NA,NA
14,16,H6N1,0,0
1,17,H6N1,0,4.193467774
2,17,H6N1,5.272402592,3.659368201
3,17,H6N1,5.277770427,3.882133349
4,17,H6N1,6.144675765,3.887501184
5,17,H6N1,5.975588966,2.760255853
6,17,H6N1,NA,NA
7,17,H6N1,4.378658079,0
8,17,H6N1,NA,NA
9,17,H6N1,0,0
10,17,H6N1,NA,NA
11,17,H6N1,5.318029189,0
12,17,H6N1,NA,NA
13,17,H6N1,NA,NA
14,17,H6N1,0,0
1,18,H6N1,0,3.503700988
2,18,H6N1,7.116253885,3.820403248
3,18,H6N1,5.57031743,4.271301381
4,18,H6N1,4.558480548,3.637896861
5,18,H6N1,4.236410454,3.466126144
6,18,H6N1,NA,NA
7,18,H6N1,4.107582416,2.950813992
8,18,H6N1,NA,NA
9,18,H6N1,0,0
10,18,H6N1,NA,NA
11,18,H6N1,0,0
12,18,H6N1,NA,NA
13,18,H6N1,NA,NA
14,18,H6N1,0,2.177845764
1,19,H6N1,0,5.666938458
2,19,H6N1,6.490901117,3.831138918
3,19,H6N1,5.900439277,4.547744879
4,19,H6N1,5.785030826,3.23799316
5,19,H6N1,5.903123194,3.514436658
6,19,H6N1,NA,NA
7,19,H6N1,4.990591259,0
8,19,H6N1,NA,NA
9,19,H6N1,0,0
10,19,H6N1,NA,NA
11,19,H6N1,3.81771933,0
12,19,H6N1,NA,NA
13,19,H6N1,NA,NA
14,19,H6N1,0,0
1,20,H6N1,0,2.961549662
2,20,H6N1,7.073311205,3.951915203
3,20,H6N1,6.34060174,4.596055393
4,20,H6N1,5.88701969,4.265933546
